date,taiex_close,verdict,label,flow_score,stock_confirmed,warning_active,confidence,insufficient_data,forward_days,forward_return_pct,max_favorable_pct,max_adverse_pct,long_win,risk_off_win
2025-01-02,22832.06,NEUTRAL,中性／觀察,0,False,False,0,True,5,1.0909,3.588,0.3339,True,False
2025-01-03,22908.3,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.4521,3.2432,0.4521,True,False
2025-01-06,23547.71,NEUTRAL,中性／觀察,0,False,False,0,True,5,-4.4989,0.4398,-4.4989,False,True
2025-01-07,23651.27,NEUTRAL,中性／觀察,0,False,False,0,True,5,-3.6097,-1.0314,-4.917,False,True
2025-01-08,23407.33,NEUTRAL,中性／觀察,0,False,False,0,True,5,-3.814,-1.3936,-3.9261,False,True
2025-01-09,23081.13,NEUTRAL,中性／觀察,0,False,False,0,True,5,-0.2428,-0.2428,-2.5683,False,True
2025-01-10,23011.86,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.592,0.592,-2.275,True,False
2025-01-13,22488.33,NEUTRAL,中性／觀察,0,False,False,0,True,5,3.4618,3.4618,0.1167,True,False
2025-01-14,22797.52,NEUTRAL,中性／觀察,0,False,False,0,True,5,2.2041,2.2041,-1.2411,True,False
2025-01-15,22514.57,NEUTRAL,中性／觀察,0,False,False,0,True,5,4.4897,4.4897,2.2676,True,False
2025-01-16,23025.1,NEUTRAL,中性／觀察,0,False,False,0,True,5,-1.4349,2.1729,-1.4349,False,True
2025-01-17,23148.08,NEUTRAL,中性／觀察,0,False,False,0,True,5,-1.5298,1.6301,-1.9586,False,True
2025-01-20,23266.82,NEUTRAL,中性／觀察,0,False,False,0,True,5,-0.4523,1.1114,-2.4589,False,True
2025-01-21,23300.01,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.0712,0.9674,-2.5979,True,False
2025-01-22,23525.41,NEUTRAL,中性／觀察,0,False,False,0,True,5,-0.2004,-0.2004,-3.5311,False,True
2025-02-03,22694.71,NEUTRAL,中性／觀察,0,False,False,0,True,5,2.4562,3.4526,0.4373,True,False
2025-02-04,22793.96,NEUTRAL,中性／觀察,0,False,False,0,True,5,2.5888,3.0022,1.6128,True,False
2025-02-05,23161.58,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.5534,1.3673,0.391,True,False
2025-02-06,23316.6,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.3552,0.6934,-0.2765,True,False
2025-02-07,23478.27,NEUTRAL,中性／觀察,0,False,False,0,True,5,-1.3871,-0.3359,-1.3871,False,True
2025-02-10,23252.14,NEUTRAL,中性／觀察,0,False,False,0,True,5,1.0889,1.0889,-0.428,True,False
2025-02-11,23384.05,NEUTRAL,中性／觀察,0,False,False,0,True,5,1.2062,1.2062,-0.9897,True,False
2025-02-12,23289.75,NEUTRAL,中性／觀察,0,False,False,0,True,5,1.3496,1.616,-0.5888,True,False
2025-02-13,23399.41,NEUTRAL,中性／觀察,0,False,False,0,True,5,0.3763,1.1398,-1.0547,True,False
